A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-9.37529E+001	9.13114E+001	2.53914E+002	-1.31840E+001	-3.17392E+000	-3.60118E+000
-1.47465E+002	-4.39467E+001	5.53240E+002	-6.82394E+001	9.94903E+000	3.47911E+000
-2.32917E+002	-2.20710E+002	1.07083E+003	-1.00955E+002	1.25736E+001	9.21659E+000
-3.90637E+000	-3.19834E+002	1.62358E+003	-9.65606E+001	1.64800E+000	2.47200E+001
2.16803E+002	-4.01868E+002	2.04498E+003	-6.33564E+001	3.72326E+000	2.68563E+001
1.59673E+002	-3.46202E+002	1.88775E+003	1.70904E+000	-1.83111E+000	6.16474E+000
6.05487E+001	-2.74422E+002	1.48344E+003	5.62761E+001	-9.39970E+000	-1.01932E+001
-6.83615E+000	-1.78228E+002	1.07865E+003	8.15455E+001	-1.00101E+001	-1.80059E+001
-1.00589E+002	-8.98465E+001	7.59301E+002	8.49025E+001	-1.02542E+001	-1.98981E+001
-1.11820E+002	-4.88296E+000	5.50798E+002	6.85446E+001	-6.71407E+000	-1.08646E+001
-6.93381E+001	8.20338E+001	3.90637E+002	3.96741E+001	-3.05185E+000	-4.21155E+000
-1.18656E+002	1.01077E+002	2.53914E+002	1.18412E+001	-4.94400E+000	-8.54518E+000
-1.51372E+002	5.02945E+001	2.64657E+002	-2.80770E+001	-6.04266E+000	-5.43229E+000
-1.80670E+002	-1.12796E+002	7.42210E+002	-8.45973E+001	1.27567E+001	8.05689E+000
-1.24516E+002	-2.48543E+002	1.35405E+003	-1.07791E+002	3.15561E+001	2.40486E+001
1.04984E+002	-3.49132E+002	1.83599E+003	-8.39869E+001	2.51473E+001	2.81381E+001
4.58998E+001	-4.01868E+002	1.98053E+003	-2.72835E+001	1.04984E+001	7.14133E+000
-3.66222E+001	-3.06650E+002	1.64751E+003	3.83312E+001	-7.93481E+000	-5.37126E+000
5.17594E+001	-1.74322E+002	1.24906E+003	7.56249E+001	-1.38554E+001	-5.73748E+000
-3.22275E+001	-9.66826E+001	9.15067E+002	8.53908E+001	-1.22074E+001	-1.59307E+001
-9.61943E+001	-2.00201E+001	6.66036E+002	7.70898E+001	-9.39970E+000	-1.42216E+001
-6.78732E+001	7.56859E+001	4.72671E+002	5.37736E+001	-3.05185E+000	-7.26341E+000
-7.17795E+001	1.31840E+002	3.52062E+002	2.77718E+001	-4.51674E+000	-9.94903E+000
-1.31840E+002	1.22562E+002	2.77841E+002	-3.72326E+000	-5.85955E+000	-1.09867E+001
-1.85064E+002	1.46489E+000	4.91714E+002	-5.16373E+001	6.16474E+000	-1.34281E+000
-2.19733E+002	-1.17679E+002	9.11161E+002	-9.01517E+001	1.66021E+001	1.03763E+001
-1.44536E+002	-1.98248E+002	1.28959E+003	-9.64385E+001	8.60622E+000	2.14850E+001
9.03348E+001	-3.20811E+002	1.78423E+003	-8.27662E+001	3.60118E+000	2.98471E+001
1.66997E+002	-4.07727E+002	1.99664E+003	-3.44859E+001	3.72326E+000	1.58086E+001
1.26957E+001	-3.67199E+002	1.74517E+003	3.21055E+001	-1.09867E+001	-9.94903E+000
1.66021E+001	-2.23640E+002	1.29643E+003	8.06299E+001	-2.11188E+001	-1.54424E+001
-3.32041E+001	-1.00589E+002	8.56471E+002	9.28983E+001	-1.34892E+001	-1.89215E+001
-9.47295E+001	-1.80670E+001	6.26972E+002	7.65404E+001	-6.71407E+000	-1.72735E+001
-8.88699E+001	3.61339E+001	5.45427E+002	4.79141E+001	-4.27259E-001	-1.15360E+001
-1.19633E+002	8.49635E+001	4.46303E+002	2.81991E+001	-5.49333E-001	-1.24516E+001
-1.56743E+002	1.30375E+002	2.94931E+002	6.34785E+000	-6.34785E+000	-1.06815E+001
-1.64556E+002	6.10370E+001	3.88195E+002	-3.80261E+001	-7.32444E-001	-3.66222E-001
